interval_id,relation,taskset_id,U_norm,source_E0,task_id,priority_rank,w,h,q,complete_envelope,local_envelope,service_value_without_e0,lower_bound_inclusive,upper_bound_exclusive,midpoint
I0197,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,88,410071875000000017/3125000000000000000,617055000000000023/5000000000000000000,9788648400000001/100000000000000000000,12331311351600000459/100000000000000000000,13112511351600000543/100000000000000000000,12721911351600000501/100000000000000000000
I0198,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,89,26346900000000001099/200000000000000000000,24784500000000000931/200000000000000000000,24752937/250000000000,24764697650400000931/200000000000000000000,26327097650400001099/200000000000000000000,5109179530080000203/40000000000000000000
I0199,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,90,2644920000000000111/20000000000000000000,12443400000000000471/100000000000000000000,20027403/200000000000,12433386298500000471/100000000000000000000,2642917259700000111/20000000000000000000,12823986298500000513/100000000000000000000
I0200,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,91,13243200000000000557/100000000000000000000,24989100000000000953/200000000000000000000,10126228500000001/100000000000000000000,24968847543000000951/200000000000000000000,3308268442875000139/25000000000000000000,51434995086000002063/400000000000000000000
I0201,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,92,13261800000000000559/100000000000000000000,6272850000000000241/50000000000000000000,10238755800000001/100000000000000000000,12535461244200000481/100000000000000000000,6625780622100000279/50000000000000000000,25787022488400001039/200000000000000000000
I0202,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,93,13280400000000000561/100000000000000000000,1007748000000000039/8000000000000000000,10351283400000001/100000000000000000000,25172997433200000973/200000000000000000000,165875608957500007/1250000000000000000,51713094866400002093/400000000000000000000
I0203,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,94,13299000000000000563/100000000000000000000,12648000000000000493/100000000000000000000,104638113/1000000000000,12637536188700000493/100000000000000000000,13288536188700000563/100000000000000000000,810189761793750033/6250000000000000000
I0204,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,95,2663520000000000113/20000000000000000000,6347250000000000249/50000000000000000000,21152679/200000000000,6341961830250000249/50000000000000000000,2661404732100000113/20000000000000000000,25990947321000001063/200000000000000000000
I0205,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,96,13336200000000000567/100000000000000000000,6365850000000000251/50000000000000000000,2672217/25000000000,6360505566000000251/50000000000000000000,13325511132000000567/100000000000000000000,26046522264000001069/200000000000000000000
I0206,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,97,13354800000000000569/100000000000000000000,6384450000000000253/50000000000000000000,10801396799999999/100000000000000000000,12758098603200000507/100000000000000000000,1334399860320000057/10000000000000000000,26102097206400001077/200000000000000000000
I0207,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,98,13373400000000000571/100000000000000000000,1280610000000000051/10000000000000000000,109139259/1000000000000,1279518607410000051/10000000000000000000,13362486074100000571/100000000000000000000,26157672148200001081/200000000000000000000
I0208,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,99,13392000000000000573/100000000000000000000,6421650000000000257/50000000000000000000,110264553/1000000000000,6416136772350000257/50000000000000000000,13380973544700000573/100000000000000000000,26213247089400001087/200000000000000000000
I0209,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,100,536424000000000023/4000000000000000000,6440250000000000259/50000000000000000000,2227797/20000000000,6434680507500000259/50000000000000000000,535978440600000023/4000000000000000000,26268822030000001093/200000000000000000000
I0210,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,101,13429200000000000577/100000000000000000000,6458850000000000261/50000000000000000000,2250303/20000000000,6453224242500000261/50000000000000000000,13417948485000000577/100000000000000000000,26324396970000001099/200000000000000000000
I0211,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,102,26886300000000001157/200000000000000000000,6477450000000000263/50000000000000000000,11364045300000001/100000000000000000000,517741438188000021/4000000000000000000,5372714381880000231/40000000000000000000,10550128763760000441/80000000000000000000
I0212,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,103,26886300000000001157/200000000000000000000,1299210000000000053/10000000000000000000,114765759/1000000000000,1298062342410000053/10000000000000000000,26863346848200001157/200000000000000000000,52824593696400002217/400000000000000000000
I0213,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,104,26886300000000001157/200000000000000000000,6514650000000000267/50000000000000000000,28972767/250000000000,6508855446600000267/50000000000000000000,26863121786400001157/200000000000000000000,2115941742912000089/16000000000000000000
I0214,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,105,26886300000000001157/200000000000000000000,6533250000000000269/50000000000000000000,11701637999999999/100000000000000000000,13054798362000000539/100000000000000000000,26862896724000001159/200000000000000000000,52972493448000002237/400000000000000000000
I0215,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,106,26886300000000001157/200000000000000000000,6551850000000000271/50000000000000000000,23628339/200000000000,6545942915250000271/50000000000000000000,26862671661000001157/200000000000000000000,53046443322000002241/400000000000000000000
I0216,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,107,26886300000000001157/200000000000000000000,26291100000000001093/200000000000000000000,119267013/1000000000000,26267246597400001093/200000000000000000000,26862446597400001157/200000000000000000000,212518772779200009/1600000000000000000
I0217,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,108,26886300000000001157/200000000000000000000,13187400000000000551/100000000000000000000,60196167/500000000000,13175360766600000551/100000000000000000000,26862221533200001157/200000000000000000000,53212943066400002259/400000000000000000000
I0218,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,109,26886300000000001157/200000000000000000000,26458500000000001111/200000000000000000000,12151765800000001/100000000000000000000,26434196468400001109/200000000000000000000,5372399293680000231/40000000000000000000,6662024117100000283/50000000000000000000
I0219,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,110,26886300000000001157/200000000000000000000,165888750000000007/1250000000000000000,24528597/200000000000,165735446268750007/1250000000000000000,26861771403000001157/200000000000000000000,53379442806000002277/400000000000000000000
I0220,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,111,26886300000000001157/200000000000000000000,26625900000000001129/200000000000000000000,24753663/200000000000,26601146337000001129/200000000000000000000,26861546337000001157/200000000000000000000,26731346337000001143/200000000000000000000
I0221,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,112,26886300000000001157/200000000000000000000,26700300000000001137/200000000000000000000,7805853/62500000000,26675321270400001137/200000000000000000000,26861321270400001157/200000000000000000000,26768321270400001147/200000000000000000000
I0222,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,113,26886300000000001157/200000000000000000000,5354940000000000229/40000000000000000000,6300949199999999/50000000000000000000,26749496203200001149/200000000000000000000,26861096203200001161/200000000000000000000,5361059240640000231/40000000000000000000
I0223,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,114,26886300000000001157/200000000000000000000,26849100000000001153/200000000000000000000,127144323/1000000000000,26823671135400001153/200000000000000000000,26860871135400001157/200000000000000000000,5368454227080000231/40000000000000000000
I0224,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,115,26886300000000001157/200000000000000000000,26849100000000001153/200000000000000000000,25653933/200000000000,26823446067000001153/200000000000000000000,26860646067000001157/200000000000000000000,5368409213400000231/40000000000000000000
I0225,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,116,26886300000000001157/200000000000000000000,26849100000000001153/200000000000000000000,12939501/100000000000,26823220998000001153/200000000000000000000,26860420998000001157/200000000000000000000,5368364199600000231/40000000000000000000
I0226,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,117,26886300000000001157/200000000000000000000,26849100000000001153/200000000000000000000,65260179/500000000000,26822995928400001153/200000000000000000000,26860195928400001157/200000000000000000000,5368319185680000231/40000000000000000000
I0227,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,118,26886300000000001157/200000000000000000000,26849100000000001153/200000000000000000000,6582285450000001/50000000000000000000,26822770858200001149/200000000000000000000,26859970858200001153/200000000000000000000,26841370858200001151/200000000000000000000
I0228,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,119,26886300000000001157/200000000000000000000,26849100000000001153/200000000000000000000,132771063/1000000000000,26822545787400001153/200000000000000000000,26859745787400001157/200000000000000000000,5368229157480000231/40000000000000000000
I0229,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,120,26886300000000001157/200000000000000000000,13429200000000000577/100000000000000000000,6694821/50000000000,13415810358000000577/100000000000000000000,26859520716000001157/200000000000000000000,53691141432000002311/400000000000000000000
I0230,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,121,26886300000000001157/200000000000000000000,5373540000000000231/40000000000000000000,6751089/50000000000,5368139128800000231/40000000000000000000,26859295644000001157/200000000000000000000,6712498911000000289/50000000000000000000
I0231,DEADLINE_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,128,0,122,26886300000000001157/200000000000000000000,6719250000000000289/50000000000000000000,136147143/1000000000000,6712442642850000289/50000000000000000000,26859070571400001157/200000000000000000000,53708841142800002313/400000000000000000000
I0232,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,6,6,55,0,43,1822800000000000067/25000000000000000000,14582400000000000521/200000000000000000000,47252709/1000000000000,14572949458200000521/200000000000000000000,1821618682275000067/25000000000000000000,29145898916400001057/400000000000000000000
I0233,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,6,6,55,0,46,3868800000000000143/50000000000000000000,15475200000000000557/200000000000000000000,10125621/200000000000,15465074379000000557/200000000000000000000,3866268594750000143/50000000000000000000,30930148758000001129/400000000000000000000
I0234,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,6,6,55,0,49,511500000000000019/6250000000000000000,16368000000000000593/200000000000000000000,10800705599999999/200000000000000000000,8178599647200000297/100000000000000000000,16357199294400000609/200000000000000000000,32714398588800001203/400000000000000000000
I0235,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,6,6,55,0,51,3379620000000000127/40000000000000000000,4208250000000000157/50000000000000000000,2250153/40000000000,4205437308750000157/50000000000000000000,3377369847000000127/40000000000000000000,33708598470000001263/400000000000000000000
I0236,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,6,6,55,0,52,17065500000000000653/200000000000000000000,8500200000000000323/100000000000000000000,28689489/500000000000,8494462102200000323/100000000000000000000,17054024204400000653/200000000000000000000,34042948408800001299/400000000000000000000
I0237,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,6,6,55,0,53,17232900000000000671/200000000000000000000,2145975000000000083/25000000000000000000,29252067/500000000000,2144512396650000083/25000000000000000000,17221199173200000671/200000000000000000000,6875459669280000267/80000000000000000000
I0238,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,6,6,55,0,54,690804000000000027/8000000000000000000,4301250000000000167/50000000000000000000,14907323249999999/250000000000000000000,5372835669187500209/62500000000000000000,86290870707000003379/1000000000000000000000,172256241414000006723/2000000000000000000000
I0239,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,31,5807850000000000251/100000000000000000000,2310120000000000099/40000000000000000000,8437848749999999/250000000000000000000,57719248605000002479/1000000000000000000000,29022374302500001257/500000000000000000000,115763997210000004993/2000000000000000000000
I0240,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,32,11885400000000000519/200000000000000000000,2351040000000000101/40000000000000000000,4359561/125000000000,2349644940480000101/40000000000000000000,11878424702400000519/200000000000000000000,23072899809375001/390625000000000000
I0241,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,33,1519387500000000067/25000000000000000000,2391960000000000103/40000000000000000000,2250099/62500000000,2390519936640000103/40000000000000000000,1518487460400000067/25000000000000000000,24100499366400001051/400000000000000000000
I0242,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,34,12424800000000000553/200000000000000000000,486576000000000021/8000000000000000000,37126683/1000000000000,486278986536000021/8000000000000000000,12417374663400000553/200000000000000000000,12287174663400000539/200000000000000000000
I0243,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,35,1269450000000000057/20000000000000000000,2473800000000000107/40000000000000000000,9562946250000001/250000000000000000000,61806748215000002671/1000000000000000000000,31717124107500001423/500000000000000000000,125240996430000005517/2000000000000000000000
I0244,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,36,12964200000000000587/200000000000000000000,2514720000000000109/40000000000000000000,7875378000000001/200000000000000000000,392678894437500017/6250000000000000000,6478162311000000293/100000000000000000000,2552204924400000113/40000000000000000000
I0245,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,37,13168800000000000597/200000000000000000000,3178275000000000137/50000000000000000000,20250999/500000000000,3176249900100000137/50000000000000000000,13160699600400000597/200000000000000000000,5173139840160000229/80000000000000000000
I0246,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,38,13373400000000000607/200000000000000000000,12852600000000000551/200000000000000000000,41627109/1000000000000,12844274578200000551/200000000000000000000,13365074578200000607/200000000000000000000,13104674578200000579/200000000000000000000
I0247,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,39,13578000000000000617/200000000000000000000,6496050000000000277/100000000000000000000,42752222999999997/1000000000000000000000,64917747777000002773/1000000000000000000000,4240452986062500193/62500000000000000000,132764995554000005861/2000000000000000000000
I0248,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,40,13782600000000000627/200000000000000000000,13131600000000000557/200000000000000000000,4387733999999999/100000000000000000000,13122824532000000559/200000000000000000000,13773824532000000629/200000000000000000000,6724162266000000297/100000000000000000000
I0249,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,41,13987200000000000637/200000000000000000000,165888750000000007/2500000000000000000,2250123/50000000000,165776243850000007/2500000000000000000,13978199508000000637/200000000000000000000,27240299016000001197/400000000000000000000
I0250,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,42,1761187500000000081/25000000000000000000,3327075000000000141/50000000000000000000,9225516599999999/200000000000000000000,2659814896680000113/40000000000000000000,14080274483400000649/200000000000000000000,13689674483400000607/200000000000000000000
I0251,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,43,14191800000000000659/200000000000000000000,1668187500000000071/25000000000000000000,47252709/1000000000000,1667006182275000071/25000000000000000000,14182349458200000659/200000000000000000000,27518398916400001227/400000000000000000000
I0252,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,44,1429410000000000067/20000000000000000000,3345675000000000143/50000000000000000000,24188919/500000000000,3343256108100000143/50000000000000000000,1428442443240000067/20000000000000000000,13828724432400000621/200000000000000000000
I0253,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,45,14396400000000000681/200000000000000000000,209685937500000009/3125000000000000000,4950297/100000000000,209531240718750009/3125000000000000000,14386499406000000681/200000000000000000000,27796498812000001257/400000000000000000000
I0254,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,46,3624675000000000173/50000000000000000000,672855000000000029/10000000000000000000,10125621/200000000000,672348718950000029/10000000000000000000,3622143594750000173/50000000000000000000,3491943594750000159/50000000000000000000
I0255,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,47,14601000000000000703/200000000000000000000,1686787500000000073/25000000000000000000,10350648599999999/200000000000000000000,2696789870280000117/40000000000000000000,227978896115625011/3125000000000000000,28074598702800001289/400000000000000000000
I0256,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,48,7351650000000000357/100000000000000000000,3382875000000000147/50000000000000000000,5287838399999999/100000000000000000000,1352092432320000059/20000000000000000000,3673181080800000179/50000000000000000000,14106824323200000653/200000000000000000000
I0257,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,49,592224000000000029/8000000000000000000,848043750000000037/12500000000000000000,10800705599999999/200000000000000000000,13557899294400000593/200000000000000000000,7397399647200000363/100000000000000000000,28352698588800001319/400000000000000000000
I0258,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,50,465871875000000023/6250000000000000000,3401475000000000149/50000000000000000000,2205147/40000000000,3398718566250000149/50000000000000000000,465527320781250023/6250000000000000000,7122937132500000333/100000000000000000000
I0259,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,51,15010200000000000747/200000000000000000000,3401475000000000149/50000000000000000000,2250153/40000000000,3398662308750000149/50000000000000000000,14998949235000000747/200000000000000000000,28593598470000001343/400000000000000000000
I0260,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,52,7556250000000000379/100000000000000000000,3401475000000000149/50000000000000000000,28689489/500000000000,3398606051100000149/50000000000000000000,7550512102200000379/100000000000000000000,14347724204400000677/200000000000000000000
I0261,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,53,15214800000000000769/200000000000000000000,3401475000000000149/50000000000000000000,29252067/500000000000,3398549793300000149/50000000000000000000,15203099173200000769/200000000000000000000,5759459669280000273/80000000000000000000
I0262,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,54,765855000000000039/10000000000000000000,3401475000000000149/50000000000000000000,14907323249999999/250000000000000000000,8496233838375000373/125000000000000000000,1195716729796875061/15625000000000000000,18061967676750000861/250000000000000000000
I0263,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,55,15419400000000000791/200000000000000000000,3420075000000000151/50000000000000000000,6075445499999999/100000000000000000000,6834074554500000303/100000000000000000000,15407249109000000793/200000000000000000000,29075398218000001399/400000000000000000000
I0264,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,56,3091320000000000159/40000000000000000000,3438675000000000153/50000000000000000000,3093981/50000000000,3435581019000000153/50000000000000000000,3088844815200000159/40000000000000000000,29186548152000001407/400000000000000000000
I0265,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,57,3866475000000000199/50000000000000000000,691455000000000031/10000000000000000000,6300478799999999/100000000000000000000,6908249521200000311/100000000000000000000,7726649521200000399/100000000000000000000,1463489904240000071/20000000000000000000
I0266,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,58,3866475000000000199/50000000000000000000,3475875000000000157/50000000000000000000,64129959/1000000000000,3472668502050000157/50000000000000000000,3863268502050000199/50000000000000000000,1833984251025000089/25000000000000000000
I0267,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,59,3866475000000000199/50000000000000000000,3494475000000000159/50000000000000000000,65255133/1000000000000,3491212243350000159/50000000000000000000,3863212243350000199/50000000000000000000,3677212243350000179/50000000000000000000
I0268,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,60,3866475000000000199/50000000000000000000,3513075000000000161/50000000000000000000,6638031/100000000000,3509755984500000161/50000000000000000000,3863155984500000199/50000000000000000000,184322799225000009/2500000000000000000
I0269,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,61,3866475000000000199/50000000000000000000,3531675000000000163/50000000000000000000,6750549/100000000000,3528299725500000163/50000000000000000000,3863099725500000199/50000000000000000000,3695699725500000181/50000000000000000000
I0270,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,62,3866475000000000199/50000000000000000000,710055000000000033/10000000000000000000,6863067299999999/100000000000000000000,7093686932700000331/100000000000000000000,7726086932700000399/100000000000000000000,1481977386540000073/20000000000000000000
I0271,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,63,3866475000000000199/50000000000000000000,3568875000000000167/50000000000000000000,69755859/1000000000000,3565387207050000167/50000000000000000000,3862987207050000199/50000000000000000000,3714187207050000183/50000000000000000000
I0272,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,64,3866475000000000199/50000000000000000000,3587475000000000169/50000000000000000000,7088104799999999/100000000000000000000,7167861895200000339/100000000000000000000,7725861895200000399/100000000000000000000,7446861895200000369/100000000000000000000
I0273,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,65,3866475000000000199/50000000000000000000,3606075000000000171/50000000000000000000,7200623999999999/100000000000000000000,7204949376000000343/100000000000000000000,7725749376000000399/100000000000000000000,7465349376000000371/100000000000000000000
I0274,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,66,3866475000000000199/50000000000000000000,3624675000000000173/50000000000000000000,14626287/200000000000,3621018428250000173/50000000000000000000,3862818428250000199/50000000000000000000,1870959214125000093/25000000000000000000
I0275,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,67,3866475000000000199/50000000000000000000,145731000000000007/2000000000000000000,7425663300000001/100000000000000000000,7279124336700000349/100000000000000000000,7725524336700000397/100000000000000000000,7502324336700000373/100000000000000000000
I0276,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,68,3866475000000000199/50000000000000000000,3661875000000000177/50000000000000000000,37690917/500000000000,3658105908300000177/50000000000000000000,3862705908300000199/50000000000000000000,940101477075000047/12500000000000000000
I0277,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,69,3866475000000000199/50000000000000000000,3680475000000000179/50000000000000000000,38253519/500000000000,3676649648100000179/50000000000000000000,3862649648100000199/50000000000000000000,3769649648100000189/50000000000000000000
I0278,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,70,3866475000000000199/50000000000000000000,3699075000000000181/50000000000000000000,15526449/200000000000,3695193387750000181/50000000000000000000,3862593387750000199/50000000000000000000,377889338775000019/5000000000000000000
I0279,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,71,3866475000000000199/50000000000000000000,3717675000000000183/50000000000000000000,15751491/200000000000,3713737127250000183/50000000000000000000,3862537127250000199/50000000000000000000,3788137127250000191/50000000000000000000
I0280,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,72,3866475000000000199/50000000000000000000,747255000000000037/10000000000000000000,7988266799999999/100000000000000000000,7464561733200000371/100000000000000000000,7724961733200000399/100000000000000000000,1518952346640000077/20000000000000000000
I0281,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,73,3866475000000000199/50000000000000000000,3754875000000000187/50000000000000000000,20251971/250000000000,3750824605800000187/50000000000000000000,3862424605800000199/50000000000000000000,3806624605800000193/50000000000000000000
I0282,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,74,3866475000000000199/50000000000000000000,3773475000000000189/50000000000000000000,82133103/1000000000000,3769368344850000189/50000000000000000000,3862368344850000199/50000000000000000000,1907934172425000097/25000000000000000000
I0283,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,75,3866475000000000199/50000000000000000000,3792075000000000191/50000000000000000000,8325832500000001/100000000000000000000,7575824167500000381/100000000000000000000,7724624167500000397/100000000000000000000,7650224167500000389/100000000000000000000
I0284,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,76,3866475000000000199/50000000000000000000,3810675000000000193/50000000000000000000,1687671/20000000000,3806455822500000193/50000000000000000000,3862255822500000199/50000000000000000000,958588955625000049/12500000000000000000
I0285,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,77,3866475000000000199/50000000000000000000,765855000000000039/10000000000000000000,42754389/500000000000,764999912220000039/10000000000000000000,3862199561100000199/50000000000000000000,3843599561100000197/50000000000000000000
I0286,FIXED_CW_CARRY_IN,v93-u1-e1-t00-65969f00bdd7,0.4,1,9,9,79,0,78,3866475000000000199/50000000000000000000,3847875000000000197/50000000000000000000,86634009/1000000000000,3843543299550000197/50000000000000000000,3862143299550000199/50000000000000000000,1926421649775000099/25000000000000000000
I0287,DEADLINE_CARRY_IN,v93-u1-e1-t01-6d6d0db990d3,0.4,1,6,6,82,0,11,58311/2000000,3627/125000,2250033000000001/200000000000000000000,5800949966999999999/200000000000000000000,5828849966999999999/200000000000000000000,5814899966999999999/200000000000000000000
I0288,DEADLINE_CARRY_IN,v93-u1-e1-t01-6d6d0db990d3,0.4,1,6,6,82,0,12,15903/500000,31527/1000000,6187599000000003/500000000000000000000,15757312400999999997/500000000000000000000,15896812400999999997/500000000000000000000,15827062400999999997/500000000000000000000
I0289,DEADLINE_CARRY_IN,v93-u1-e1-t01-6d6d0db990d3,0.4,1,6,6,82,0,13,68913/2000000,17019/500000,2700046800000001/200000000000000000000,6804899953199999999/200000000000000000000,6888599953199999999/200000000000000000000,6846749953199999999/200000000000000000000
I0290,DEADLINE_CARRY_IN,v93-u1-e1-t01-6d6d0db990d3,0.4,1,6,6,82,0,14,37107/1000000,36549/1000000,7312636500000001/500000000000000000000,18267187363499999999/500000000000000000000,18546187363499999999/500000000000000000000,18406687363499999999/500000000000000000000
